"year","2016","2018","2020","2022"
1979,820554,820554,898297,776360
1980,NA,NA,NA,NA
1981,NA,NA,NA,NA
1982,NA,NA,NA,NA
1983,342591,342591,340011,212623
1984,726183,726183,772373,778794
1985,1217178,1217178,1153330,1214716
1986,1754052,1754052,2289122,1894540
1987,872703,872703,1002018,1109480
1988,739208,739208,832874,924315
1989,757877,757877,745044,811436
1990,725415,725415,924153,772523
1991,1284928,1284928,1554288,NA
1992,796459,796459,1067859,1216382
1993,935545,935545,1026248,1223916
1994,467261,467261,506303,733035
1995,NA,NA,NA,NA
1996,123464,123464,132575,176641
1997,NA,NA,NA,NA
1998,105801,105801,125065,167362
1999,NA,NA,NA,NA
2000,161573,161573,168077,187474
2001,NA,NA,NA,40800
2002,389007,389007,422730,482877
2003,307091,307091,349279,413374
2004,162802,162802,208384,428371
2005,87959,87959,91396,151268
2006,NA,NA,NA,66429
2007,76532,76532,98262,133797
2008,99631,99631,111742,142750
2009,73743,73743,92661,122440
2010,25960,25960,31877,40598
2011,35714,35714,45285,47225
2012,14568,14568,16890,21165
2013,33362,33362,48730,46793
2014,49796,49796,53700,73661
2015,41783,42572,47681,54754
2016,52667,56475,63971,67172
2017,NA,97612,108003,103126
2018,NA,41241,52038,60892
2019,NA,NA,46052,80740
2020,NA,NA,NA,NA
2021,NA,NA,NA,25626
2022,NA,NA,NA,32675
